BoM
Index,Quantity,Part Number,Manufacturer Part Number,Description,Link,Available,Backorder,Unit Price,Extended Price USD
1,1,1597-113991054-ND,113991054,XIAO ESP32C3,https://www.digikey.com/en/products/detail/seeed-technology-co-ltd/113991054/16652880,1,0,4.99000,4.99
2,2,2057-PH1-07-UA-ND,PH1-07-UA,CONN HEADER VERT 7POS 2.54MM,https://www.digikey.com/en/products/detail/adam-tech/PH1-07-UA/9830505,2,0,0.10000,0.20
3,4,1727-2821-1-ND,"74HC595D,118",IC SHFT REG TRI-STATE 8BIT 16-SO,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74HC595D-118/763087,4,0,0.25000,1.00
4,1,2223-SLW-883935-2A-D-ND,SLW-883935-2A-D,SWITCH SLIDE SPDT 0.5A 30V,https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/SLW-883935-2A-D/21259966,1,0,0.47000,0.47
5,13,RNCP1206FTD100RCT-ND,RNCP1206FTD100R,RES 100 OHM 1% 1/2W 1206,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RNCP1206FTD100R/2240316,13,0,0.01800,0.23
6,4,399-C1206C104K5RACTUCT-ND,C1206C104K5RACTU,CAP CER 0.1UF 50V X7R 1206,https://www.digikey.com/en/products/detail/kemet/C1206C104K5RACTU/411248,4,0,0.11000,0.44
7,3,160-1406-1-ND,LTST-C150KSKT,LED YELLOW CLEAR 1206 SMD,https://www.digikey.com/en/products/detail/liteon/LTST-C150KSKT/386763,3,0,0.14000,0.42
8,3,160-1405-1-ND,LTST-C150KRKT,LED RED CLEAR 1206 SMD,https://www.digikey.com/en/products/detail/liteon/LTST-C150KRKT/386761,3,0,0.15000,0.45
9,3,160-1403-1-ND,LTST-C150KFKT,LED ORANGE CLEAR 1206 SMD,https://www.digikey.com/en/products/detail/liteon/LTST-C150KFKT/386758,3,0,0.15000,0.45
10,4,160-1404-1-ND,LTST-C150KGKT,LED GREEN CLEAR 1206 SMD,https://www.digikey.com/en/products/detail/liteon/LTST-C150KGKT/365085,4,0,0.16000,0.64
11,10,160-1172-1-ND,LTST-C155GEKT,LED GREEN/RED CLEAR CHIP SMD,https://www.digikey.com/en/products/detail/liteon/LTST-C155GEKT/269219,10,0,0.15300,1.53
12,16,RNCP1206FTD200RCT-ND,RNCP1206FTD200R,RES 200 OHM 1% 1/2W 1206,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RNCP1206FTD200R/2240320,16,0,0.01800,0.29
Total cost,,,,,,,,,11.11
